row_type,pv,task,group,metric,replicate,estimate,full_estimate,valid_replicates,failed_replicates,sampling_variance,sampling_standard_error
replicate,PV1MATH,classification,high_ses_native,brier,6.0,0.11054629237662457,,,,,
replicate,PV1MATH,classification,high_ses_native,ece,6.0,0.033810331384791635,,,,,
replicate,PV1MATH,classification,high_ses_native,calibration_slope,6.0,0.8307137001175877,,,,,
replicate,PV1MATH,classification,contrast,auc_difference,6.0,0.0018687989757891765,,,,,
replicate,PV1MATH,classification,contrast,ece_difference,6.0,0.03886003141906866,,,,,
replicate,PV1MATH,classification,contrast,slope_difference,6.0,0.08461591755998155,,,,,
replicate,PV1MATH,regression,global,rmse,7.0,60.46215783622572,,,,,
replicate,PV1MATH,regression,global,r2,7.0,0.6179842632656193,,,,,
replicate,PV1MATH,classification,global,auc,7.0,0.8850331781033115,,,,,
replicate,PV1MATH,classification,global,brier,7.0,0.13569189581336855,,,,,
replicate,PV1MATH,classification,global,ece,7.0,0.03373238643877659,,,,,
replicate,PV1MATH,classification,global,calibration_slope,7.0,0.7805447399245581,,,,,
replicate,PV1MATH,classification,low_ses_non_native,auc,7.0,0.846060063498993,,,,,
replicate,PV1MATH,classification,low_ses_non_native,brier,7.0,0.16002041568007253,,,,,
replicate,PV1MATH,classification,low_ses_non_native,ece,7.0,0.0732300219950641,,,,,
replicate,PV1MATH,classification,low_ses_non_native,calibration_slope,7.0,0.8025552598914321,,,,,
replicate,PV1MATH,classification,high_ses_native,auc,7.0,0.8625467825610458,,,,,
replicate,PV1MATH,classification,high_ses_native,brier,7.0,0.10924614250770717,,,,,
replicate,PV1MATH,classification,high_ses_native,ece,7.0,0.030342477263306866,,,,,
replicate,PV1MATH,classification,high_ses_native,calibration_slope,7.0,0.8491828706996857,,,,,
replicate,PV1MATH,classification,contrast,auc_difference,7.0,-0.01648671906205279,,,,,
replicate,PV1MATH,classification,contrast,ece_difference,7.0,0.03949763555628752,,,,,
replicate,PV1MATH,classification,contrast,slope_difference,7.0,0.022010519966873976,,,,,
replicate,PV1MATH,regression,global,rmse,8.0,60.51304674285815,,,,,
replicate,PV1MATH,regression,global,r2,8.0,0.631605124692214,,,,,
replicate,PV1MATH,classification,global,auc,8.0,0.8889588860444528,,,,,
replicate,PV1MATH,classification,global,brier,8.0,0.13294533638177664,,,,,
replicate,PV1MATH,classification,global,ece,8.0,0.031002316774960174,,,,,
replicate,PV1MATH,classification,global,calibration_slope,8.0,0.8043034362045657,,,,,
replicate,PV1MATH,classification,low_ses_non_native,auc,8.0,0.8650191994048886,,,,,
replicate,PV1MATH,classification,low_ses_non_native,brier,8.0,0.1478476206314512,,,,,
replicate,PV1MATH,classification,low_ses_non_native,ece,8.0,0.07120665278214666,,,,,
replicate,PV1MATH,classification,low_ses_non_native,calibration_slope,8.0,0.9217347550621385,,,,,
replicate,PV1MATH,classification,high_ses_native,auc,8.0,0.8532900488677021,,,,,
replicate,PV1MATH,classification,high_ses_native,brier,8.0,0.10914853400626075,,,,,
replicate,PV1MATH,classification,high_ses_native,ece,8.0,0.028974762547772624,,,,,
replicate,PV1MATH,classification,high_ses_native,calibration_slope,8.0,0.8122533361457763,,,,,
replicate,PV1MATH,classification,contrast,auc_difference,8.0,0.011729150537186483,,,,,
replicate,PV1MATH,classification,contrast,ece_difference,8.0,0.04020433600718649,,,,,
replicate,PV1MATH,classification,contrast,slope_difference,8.0,0.11743131885757285,,,,,
replicate,PV1MATH,regression,global,rmse,9.0,60.746128529375426,,,,,
replicate,PV1MATH,regression,global,r2,9.0,0.6279092354194616,,,,,
replicate,PV1MATH,classification,global,auc,9.0,0.8868386137427378,,,,,
replicate,PV1MATH,classification,global,brier,9.0,0.13556191243606155,,,,,
replicate,PV1MATH,classification,global,ece,9.0,0.03195942965193502,,,,,
replicate,PV1MATH,classification,global,calibration_slope,9.0,0.7956857956687924,,,,,
replicate,PV1MATH,classification,low_ses_non_native,auc,9.0,0.8449662121651867,,,,,
