query_index,baseline_prediction,base_ST004D01T,base_GRADE,base_AGE,base_ESCS,base_IMMIG,base_HISEI,base_PAREDINT,base_HOMEPOS,base_ANXMAT,base_MATHEFF,base_MATHEF21,base_MATHPERS,base_FAMCON,base_BELONG,base_BULLIED,base_FEELSAFE,base_SCHRISK,base_FAMSUP,base_DISCLIM,base_TEACHSUP,base_COGACRCO,base_COGACMCO,base_STUBEHA,base_TEACHBEHA,base_EDUSHORT,base_STAFFSHORT,base_ICTRES,base_ICTHOME,base_ICTSCH,base_ICTEFFIC,base_ICTINFO,base_ICTSUBJ,base_STUDYHMW
322857,0.8227745890617371,1.0,-1.0,15.67,-0.9496,1.0,19.78,12.0,0.1459,-0.2758,-0.9571,0.1509,0.6865,0.6109,-1.3258,1.9549,-2.7886,1.18,-2.1701,-1.1698,0.4357,0.7085,0.7198,-0.2351,1.7102,-0.0274,0.2841,,0.3346,-0.0831,-0.4959,1.0189,0.3533,1.0
152960,0.9740349054336548,1.0,-3.0,15.58,-0.7794,1.0,41.68,16.0,-2.0269,0.6387,-0.2086,0.4684,-0.9976,-0.2508,-0.4867,-0.1325,-0.756,-0.6386,,-0.808,-1.0693,-0.0745,0.2623,-1.8617,-2.0409,-1.4212,-1.6471,-2.5262,0.3346,0.4062,-0.6495,-0.4607,0.7395,1.0
41905,0.8375513553619385,1.0,,15.42,-1.3566,2.0,,14.5,-1.5589,2.5078,2.0741,2.6072,-2.8815,3.6401,-0.1079,-1.228,1.1246,-0.6386,-0.5986,-0.8126,1.5558,2.3368,2.3245,,,,,,0.3346,0.4062,-2.6482,3.242,1.8732,9.0
278838,0.7454286813735962,0.0,0.0,16.08,0.9308,1.0,68.54,16.0,0.8134,2.5026,,,,,-1.2292,0.7628,-1.2589,-0.6386,,0.3521,,,,1.2033,-0.055,-0.3123,-0.7828,1.5933,,,,,,5.0
578897,0.8769371509552002,0.0,0.0,16.33,-2.1706,1.0,29.73,6.0,-0.7831,,-0.6491,-2.1482,,,0.2326,-0.1325,0.2852,0.5348,,-0.526,0.4357,0.165,0.5035,,,-0.2376,,,,,,,,1.0
399860,0.5507388114929199,0.0,0.0,15.58,0.2034,1.0,57.64,16.0,-0.4179,1.2595,-0.1932,-0.2118,-0.24,-0.0484,-1.0302,0.0536,-0.756,-0.6386,1.6733,-0.9971,-1.0693,-0.129,0.4849,-0.6823,0.8952,2.9595,0.9134,-1.3297,0.3346,0.4062,0.8955,0.6984,-1.1559,5.0
173405,0.4444553852081299,0.0,0.0,15.33,1.0839,1.0,,16.0,0.5492,1.9159,-0.4893,-0.6182,-0.083,,-1.1134,0.7824,-1.5326,0.181,1.501,-0.3586,-0.3322,-0.9515,-0.5757,0.0711,0.6737,-1.4212,0.5116,,0.3346,0.4062,1.7343,0.1466,0.5818,6.0
127319,0.8822604417800903,1.0,-1.0,15.83,,1.0,,,,1.4533,,,,,,,,,,-1.169,0.8211,,,0.8941,0.2266,1.2478,1.0815,,,,,,,-1.0
62457,0.5888288021087646,1.0,-1.0,15.75,-0.9755,1.0,,14.5,-1.8278,-0.3146,-0.5026,0.2907,-0.36,0.1863,-0.7047,-0.1325,0.4836,-0.6386,-0.0381,-0.1499,-0.3322,-0.3043,0.1855,,,,,-1.4238,,,,,,7.0
437937,0.9744033217430115,1.0,-1.0,15.42,-0.0208,1.0,74.66,16.0,-1.7062,-2.3868,-3.3733,-2.0523,-2.8106,,-0.5636,4.6939,-2.7886,-0.6386,1.5965,1.7402,-2.9095,2.2108,2.2723,-3.8299,-2.0409,-1.4212,-1.4551,-2.4753,,,,,,1.0
