row_type,pv,task,group,metric,replicate,estimate,full_estimate,valid_replicates,failed_replicates,sampling_variance,sampling_standard_error
replicate,PV1MATH,classification,contrast,slope_difference,10.0,-0.11368525967644783,,,,,
replicate,PV1MATH,regression,global,rmse,11.0,60.056693328798815,,,,,
replicate,PV1MATH,regression,global,r2,11.0,0.6353436522887796,,,,,
replicate,PV1MATH,classification,global,auc,11.0,0.8877995834584831,,,,,
replicate,PV1MATH,classification,global,brier,11.0,0.1366495643621391,,,,,
replicate,PV1MATH,classification,global,ece,11.0,0.0321159041049895,,,,,
replicate,PV1MATH,classification,global,calibration_slope,11.0,0.8102805786928121,,,,,
replicate,PV1MATH,classification,low_ses_non_native,auc,11.0,0.8172174525288691,,,,,
replicate,PV1MATH,classification,low_ses_non_native,brier,11.0,0.1726037818501936,,,,,
replicate,PV1MATH,classification,low_ses_non_native,ece,11.0,0.08535218655895209,,,,,
replicate,PV1MATH,classification,low_ses_non_native,calibration_slope,11.0,0.7540377648484079,,,,,
replicate,PV1MATH,classification,high_ses_native,auc,11.0,0.8576435720952742,,,,,
replicate,PV1MATH,classification,high_ses_native,brier,11.0,0.1100974985048979,,,,,
replicate,PV1MATH,classification,high_ses_native,ece,11.0,0.028163344759411495,,,,,
replicate,PV1MATH,classification,high_ses_native,calibration_slope,11.0,0.8280442883290503,,,,,
replicate,PV1MATH,classification,contrast,auc_difference,11.0,-0.04042611956640507,,,,,
replicate,PV1MATH,classification,contrast,ece_difference,11.0,0.05323628245396259,,,,,
replicate,PV1MATH,classification,contrast,slope_difference,11.0,-0.056242813844404216,,,,,
replicate,PV1MATH,regression,global,rmse,12.0,59.82610461139647,,,,,
replicate,PV1MATH,regression,global,r2,12.0,0.6357343363684371,,,,,
replicate,PV1MATH,classification,global,auc,12.0,0.88496009058055,,,,,
replicate,PV1MATH,classification,global,brier,12.0,0.13848985645956968,,,,,
replicate,PV1MATH,classification,global,ece,12.0,0.03360694063496187,,,,,
replicate,PV1MATH,classification,global,calibration_slope,12.0,0.8015876264942452,,,,,
replicate,PV1MATH,classification,low_ses_non_native,auc,12.0,0.7959627944161687,,,,,
replicate,PV1MATH,classification,low_ses_non_native,brier,12.0,0.1853108242136289,,,,,
replicate,PV1MATH,classification,low_ses_non_native,ece,12.0,0.11223499997505341,,,,,
replicate,PV1MATH,classification,low_ses_non_native,calibration_slope,12.0,0.6761455622650084,,,,,
replicate,PV1MATH,classification,high_ses_native,auc,12.0,0.8539612582911794,,,,,
replicate,PV1MATH,classification,high_ses_native,brier,12.0,0.11573835609598476,,,,,
replicate,PV1MATH,classification,high_ses_native,ece,12.0,0.03534434219394872,,,,,
replicate,PV1MATH,classification,high_ses_native,calibration_slope,12.0,0.8438581537281372,,,,,
replicate,PV1MATH,classification,contrast,auc_difference,12.0,-0.05799846387501073,,,,,
replicate,PV1MATH,classification,contrast,ece_difference,12.0,0.07862805934009154,,,,,
replicate,PV1MATH,classification,contrast,slope_difference,12.0,-0.12544206422923676,,,,,
replicate,PV1MATH,regression,global,rmse,13.0,59.83784111431602,,,,,
replicate,PV1MATH,regression,global,r2,13.0,0.6373010352219888,,,,,
replicate,PV1MATH,classification,global,auc,13.0,0.8883725394280717,,,,,
replicate,PV1MATH,classification,global,brier,13.0,0.13609219987893817,,,,,
replicate,PV1MATH,classification,global,ece,13.0,0.03221863611497604,,,,,
replicate,PV1MATH,classification,global,calibration_slope,13.0,0.8090292139866772,,,,,
replicate,PV1MATH,classification,low_ses_non_native,auc,13.0,0.8120235252745072,,,,,
replicate,PV1MATH,classification,low_ses_non_native,brier,13.0,0.17908152000377162,,,,,
replicate,PV1MATH,classification,low_ses_non_native,ece,13.0,0.09785187785750868,,,,,
replicate,PV1MATH,classification,low_ses_non_native,calibration_slope,13.0,0.7159417206111757,,,,,
replicate,PV1MATH,classification,high_ses_native,auc,13.0,0.8628303363751217,,,,,
replicate,PV1MATH,classification,high_ses_native,brier,13.0,0.10948698237461675,,,,,
replicate,PV1MATH,classification,high_ses_native,ece,13.0,0.025687058777946997,,,,,
replicate,PV1MATH,classification,high_ses_native,calibration_slope,13.0,0.8709935089342632,,,,,
replicate,PV1MATH,classification,contrast,auc_difference,13.0,-0.05080681110061458,,,,,
replicate,PV1MATH,classification,contrast,ece_difference,13.0,0.06563324174253264,,,,,
replicate,PV1MATH,classification,contrast,slope_difference,13.0,-0.09308749337550148,,,,,
replicate,PV1MATH,regression,global,rmse,14.0,59.58615947254617,,,,,
replicate,PV1MATH,regression,global,r2,14.0,0.6364643388452139,,,,,
replicate,PV1MATH,classification,global,auc,14.0,0.8869515928857787,,,,,
replicate,PV1MATH,classification,global,brier,14.0,0.1372391668368455,,,,,
replicate,PV1MATH,classification,global,ece,14.0,0.03236093172122477,,,,,
replicate,PV1MATH,classification,global,calibration_slope,14.0,0.8024326184413664,,,,,
replicate,PV1MATH,classification,low_ses_non_native,auc,14.0,0.8101306551485736,,,,,
replicate,PV1MATH,classification,low_ses_non_native,brier,14.0,0.17939068251758772,,,,,
replicate,PV1MATH,classification,low_ses_non_native,ece,14.0,0.08884796892062309,,,,,
replicate,PV1MATH,classification,low_ses_non_native,calibration_slope,14.0,0.7431831605202861,,,,,
replicate,PV1MATH,classification,high_ses_native,auc,14.0,0.8583048955081999,,,,,
replicate,PV1MATH,classification,high_ses_native,brier,14.0,0.11326090721350102,,,,,
replicate,PV1MATH,classification,high_ses_native,ece,14.0,0.03077016487477301,,,,,
replicate,PV1MATH,classification,high_ses_native,calibration_slope,14.0,0.846467133807776,,,,,
replicate,PV1MATH,classification,contrast,auc_difference,14.0,-0.04817424035962625,,,,,
replicate,PV1MATH,classification,contrast,ece_difference,14.0,0.05648703719939832,,,,,
replicate,PV1MATH,classification,contrast,slope_difference,14.0,-0.05924945792108027,,,,,
replicate,PV1MATH,regression,global,rmse,15.0,60.0707204883065,,,,,
replicate,PV1MATH,regression,global,r2,15.0,0.6326920171912173,,,,,
replicate,PV1MATH,classification,global,auc,15.0,0.8855597324256689,,,,,
replicate,PV1MATH,classification,global,brier,15.0,0.13818576949187408,,,,,
replicate,PV1MATH,classification,global,ece,15.0,0.034829293945893236,,,,,
replicate,PV1MATH,classification,global,calibration_slope,15.0,0.7940754824087916,,,,,
replicate,PV1MATH,classification,low_ses_non_native,auc,15.0,0.8047706039855425,,,,,
replicate,PV1MATH,classification,low_ses_non_native,brier,15.0,0.1840251679634725,,,,,
replicate,PV1MATH,classification,low_ses_non_native,ece,15.0,0.09907236274191447,,,,,
replicate,PV1MATH,classification,low_ses_non_native,calibration_slope,15.0,0.6845524722028988,,,,,
replicate,PV1MATH,classification,high_ses_native,auc,15.0,0.867625487008692,,,,,
replicate,PV1MATH,classification,high_ses_native,brier,15.0,0.10850166662692073,,,,,
replicate,PV1MATH,classification,high_ses_native,ece,15.0,0.026812806451774522,,,,,
replicate,PV1MATH,classification,high_ses_native,calibration_slope,15.0,0.8823786880093586,,,,,
replicate,PV1MATH,classification,contrast,auc_difference,15.0,-0.06285488302314957,,,,,
replicate,PV1MATH,classification,contrast,ece_difference,15.0,0.06424306879602124,,,,,
replicate,PV1MATH,classification,contrast,slope_difference,15.0,-0.10952301020589272,,,,,
replicate,PV1MATH,regression,global,rmse,16.0,59.74407043970838,,,,,
replicate,PV1MATH,regression,global,r2,16.0,0.6374395979443457,,,,,
replicate,PV1MATH,classification,global,auc,16.0,0.8880978736681482,,,,,
replicate,PV1MATH,classification,global,brier,16.0,0.1363502499741519,,,,,
replicate,PV1MATH,classification,global,ece,16.0,0.031412175871101095,,,,,
replicate,PV1MATH,classification,global,calibration_slope,16.0,0.8106340108175801,,,,,
replicate,PV1MATH,classification,low_ses_non_native,auc,16.0,0.8164046069404582,,,,,
replicate,PV1MATH,classification,low_ses_non_native,brier,16.0,0.17614500986650478,,,,,
replicate,PV1MATH,classification,low_ses_non_native,ece,16.0,0.0987013446684332,,,,,
replicate,PV1MATH,classification,low_ses_non_native,calibration_slope,16.0,0.7364238786741509,,,,,
replicate,PV1MATH,classification,high_ses_native,auc,16.0,0.8564533032393196,,,,,
replicate,PV1MATH,classification,high_ses_native,brier,16.0,0.11612586397973255,,,,,
replicate,PV1MATH,classification,high_ses_native,ece,16.0,0.036009749189870065,,,,,
replicate,PV1MATH,classification,high_ses_native,calibration_slope,16.0,0.8533419425137402,,,,,
replicate,PV1MATH,classification,contrast,auc_difference,16.0,-0.04004869629886132,,,,,
replicate,PV1MATH,classification,contrast,ece_difference,16.0,0.0672891687973321,,,,,
replicate,PV1MATH,classification,contrast,slope_difference,16.0,-0.0742101321434292,,,,,
replicate,PV1MATH,regression,global,rmse,17.0,59.82387370139832,,,,,
replicate,PV1MATH,regression,global,r2,17.0,0.6378209894100128,,,,,
replicate,PV1MATH,classification,global,auc,17.0,0.8894362449371476,,,,,
replicate,PV1MATH,classification,global,brier,17.0,0.1353940113304289,,,,,
replicate,PV1MATH,classification,global,ece,17.0,0.030523743094936977,,,,,
replicate,PV1MATH,classification,global,calibration_slope,17.0,0.8108303072855682,,,,,
replicate,PV1MATH,classification,low_ses_non_native,auc,17.0,0.8290779487999129,,,,,
replicate,PV1MATH,classification,low_ses_non_native,brier,17.0,0.17025968385486598,,,,,
replicate,PV1MATH,classification,low_ses_non_native,ece,17.0,0.080053989468191,,,,,
replicate,PV1MATH,classification,low_ses_non_native,calibration_slope,17.0,0.7812990864580573,,,,,
replicate,PV1MATH,classification,high_ses_native,auc,17.0,0.869234675804011,,,,,
replicate,PV1MATH,classification,high_ses_native,brier,17.0,0.10815738625187445,,,,,
replicate,PV1MATH,classification,high_ses_native,ece,17.0,0.02536482241072563,,,,,
replicate,PV1MATH,classification,high_ses_native,calibration_slope,17.0,0.916257720595452,,,,,
replicate,PV1MATH,classification,contrast,auc_difference,17.0,-0.040156727004098114,,,,,
replicate,PV1MATH,classification,contrast,ece_difference,17.0,0.049530246373254025,,,,,
replicate,PV1MATH,classification,contrast,slope_difference,17.0,-0.029531220827510807,,,,,
replicate,PV1MATH,regression,global,rmse,18.0,59.64987477987012,,,,,
replicate,PV1MATH,regression,global,r2,18.0,0.6357217544107425,,,,,
replicate,PV1MATH,classification,global,auc,18.0,0.8876351442612621,,,,,
replicate,PV1MATH,classification,global,brier,18.0,0.13654270216702571,,,,,
replicate,PV1MATH,classification,global,ece,18.0,0.03184941969108736,,,,,
replicate,PV1MATH,classification,global,calibration_slope,18.0,0.8025141846775629,,,,,
replicate,PV1MATH,classification,low_ses_non_native,auc,18.0,0.8385185952379343,,,,,
replicate,PV1MATH,classification,low_ses_non_native,brier,18.0,0.16324137329618466,,,,,
replicate,PV1MATH,classification,low_ses_non_native,ece,18.0,0.06509442362838322,,,,,
replicate,PV1MATH,classification,low_ses_non_native,calibration_slope,18.0,0.8148506900581173,,,,,
