pv,estimand,task,group,metric,estimate,n
PV8MATH,population,regression,global,rmse,59.74275854947811,122749
PV8MATH,population,regression,global,r2,0.6361384379359749,122749
PV8MATH,population,classification,global,auc,0.8856170347816308,122749
PV8MATH,population,classification,global,brier,0.13816514005225133,122749
PV8MATH,population,classification,global,ece,0.032547394845704875,122749
PV8MATH,population,classification,global,calibration_slope,0.8031544621262019,122749
PV8MATH,population,classification,low_ses_non_native,auc,0.7936525043264104,2495
PV8MATH,population,classification,low_ses_non_native,brier,0.19202137359682697,2495
PV8MATH,population,classification,low_ses_non_native,ece,0.10694585384788138,2495
PV8MATH,population,classification,low_ses_non_native,calibration_slope,0.6194610677756137,2495
PV8MATH,population,classification,high_ses_native,auc,0.852895826104542,24678
PV8MATH,population,classification,high_ses_native,brier,0.11281410698534966,24678
PV8MATH,population,classification,high_ses_native,ece,0.03324158208445656,24678
PV8MATH,population,classification,high_ses_native,calibration_slope,0.8381154549064901,24678
PV8MATH,population,classification,contrast,auc_difference,-0.05924332177813152,27173
PV8MATH,population,classification,contrast,ece_difference,0.07439845900217651,27173
PV8MATH,population,classification,contrast,slope_difference,-0.18369339435058818,27173
PV8MATH,senate,regression,global,rmse,64.17324764784198,122749
PV8MATH,senate,regression,global,r2,0.6189021465974442,122749
PV8MATH,senate,classification,global,auc,0.8799335198014481,122749
PV8MATH,senate,classification,global,brier,0.14138740319089413,122749
PV8MATH,senate,classification,global,ece,0.021625706066690925,122749
PV8MATH,senate,classification,global,calibration_slope,0.8728168749861105,122749
PV8MATH,senate,classification,low_ses_non_native,auc,0.85182740995231,2495
PV8MATH,senate,classification,low_ses_non_native,brier,0.15974116717012216,2495
PV8MATH,senate,classification,low_ses_non_native,ece,0.048536545813557846,2495
PV8MATH,senate,classification,low_ses_non_native,calibration_slope,0.8351135011321444,2495
PV8MATH,senate,classification,high_ses_native,auc,0.8662981401725784,24678
PV8MATH,senate,classification,high_ses_native,brier,0.10764425747518985,24678
PV8MATH,senate,classification,high_ses_native,ece,0.01539585391355645,24678
PV8MATH,senate,classification,high_ses_native,calibration_slope,0.9316014748406737,24678
PV8MATH,senate,classification,contrast,auc_difference,-0.014470730220268457,27173
PV8MATH,senate,classification,contrast,ece_difference,0.02691083974686692,27173
PV8MATH,senate,classification,contrast,slope_difference,-0.03770337385396605,27173
PV9MATH,population,regression,global,rmse,60.00317308440342,122749
PV9MATH,population,regression,global,r2,0.6339967805662817,122749
PV9MATH,population,classification,global,auc,0.8878249969369398,122749
PV9MATH,population,classification,global,brier,0.1364528045826173,122749
PV9MATH,population,classification,global,ece,0.03183754465716198,122749
PV9MATH,population,classification,global,calibration_slope,0.8120723202802383,122749
PV9MATH,population,classification,low_ses_non_native,auc,0.7667545883331907,2495
PV9MATH,population,classification,low_ses_non_native,brier,0.20828283192292937,2495
PV9MATH,population,classification,low_ses_non_native,ece,0.11686700675182424,2495
PV9MATH,population,classification,low_ses_non_native,calibration_slope,0.526083425473947,2495
PV9MATH,population,classification,high_ses_native,auc,0.86409006363838,24678
PV9MATH,population,classification,high_ses_native,brier,0.10825181540254447,24678
PV9MATH,population,classification,high_ses_native,ece,0.026940624680225247,24678
PV9MATH,population,classification,high_ses_native,calibration_slope,0.8801777436170649,24678
PV9MATH,population,classification,contrast,auc_difference,-0.09733547530518938,27173
PV9MATH,population,classification,contrast,ece_difference,0.08502946209466225,27173
PV9MATH,population,classification,contrast,slope_difference,-0.2859888948062913,27173
PV9MATH,senate,regression,global,rmse,64.17499415557823,122749
PV9MATH,senate,regression,global,r2,0.6181196271684386,122749
PV9MATH,senate,classification,global,auc,0.8788675747520451,122749
PV9MATH,senate,classification,global,brier,0.14212034917790015,122749
PV9MATH,senate,classification,global,ece,0.022650495680159918,122749
PV9MATH,senate,classification,global,calibration_slope,0.8645780847872252,122749
