student_idx,predicted_probability,feature,shap_contribution,rank
206822,0.7092167139053345,DISCLIM,0.12798983812599998,9
206822,0.7092167139053345,ICTHOME,0.11996807139512385,10
304799,0.5704553127288818,COGACRCO,0.58323271972562,1
304799,0.5704553127288818,HOMEPOS,0.44212896712544536,2
304799,0.5704553127288818,MATHEFF,0.31983638932205394,3
304799,0.5704553127288818,TEACHSUP,0.24727869147729506,4
304799,0.5704553127288818,ICTEFFIC,0.23687956963051873,5
304799,0.5704553127288818,STUBEHA,0.2031564099540583,6
304799,0.5704553127288818,FAMCON,0.18781461205970118,7
304799,0.5704553127288818,STUDYHMW,0.15645525515599729,8
304799,0.5704553127288818,ICTSUBJ,0.14270989389660826,9
304799,0.5704553127288818,STAFFSHORT,0.13202029250571287,10
117061,0.9962781071662903,BELONG,0.7329335319368602,1
117061,0.9962781071662903,GRADE,0.7088828533005289,2
117061,0.9962781071662903,HOMEPOS,0.6925532304451554,3
117061,0.9962781071662903,FAMCON,0.5257162086616699,4
117061,0.9962781071662903,HISEI,0.4608754834948286,5
117061,0.9962781071662903,MATHPERS,0.45006036492714885,6
117061,0.9962781071662903,COGACRCO,0.44419179002420606,7
117061,0.9962781071662903,BULLIED,0.3157473262158601,8
117061,0.9962781071662903,ICTRES,0.3055283922957824,9
117061,0.9962781071662903,TEACHSUP,0.26191458445646276,10
212639,0.8940737843513489,BELONG,0.647152905573862,1
212639,0.8940737843513489,DISCLIM,0.2920938376210324,2
212639,0.8940737843513489,EDUSHORT,0.2796888954974952,3
212639,0.8940737843513489,STUDYHMW,0.27153451358870373,4
212639,0.8940737843513489,FAMCON,0.24002532890277506,5
212639,0.8940737843513489,HOMEPOS,0.23256878427317132,6
212639,0.8940737843513489,BULLIED,0.23182968839355453,7
212639,0.8940737843513489,MATHEFF,0.1997362769602205,8
212639,0.8940737843513489,ICTSCH,0.1843593581354071,9
212639,0.8940737843513489,ICTHOME,0.1798450416608466,10
361169,0.7344205975532532,HOMEPOS,1.149247876531781,1
361169,0.7344205975532532,MATHEFF,0.2966923123368997,2
361169,0.7344205975532532,FAMCON,0.191302516165415,3
361169,0.7344205975532532,MATHPERS,0.17557063235664827,4
361169,0.7344205975532532,STUDYHMW,0.15403220445274202,5
361169,0.7344205975532532,ESCS,0.15027882180497726,6
361169,0.7344205975532532,ST004D01T,0.1478861733435042,7
361169,0.7344205975532532,MATHEF21,0.1296896529794867,8
361169,0.7344205975532532,ICTHOME,0.1056385554476219,9
361169,0.7344205975532532,ICTSCH,0.0992221692651583,10
243689,0.9247464537620544,HOMEPOS,0.7490867676373273,1
243689,0.9247464537620544,GRADE,0.5458192881418108,2
243689,0.9247464537620544,ICTRES,0.4161768733360441,3
243689,0.9247464537620544,MATHEF21,0.2675701456613933,4
243689,0.9247464537620544,HISEI,0.26052461816654615,5
243689,0.9247464537620544,MATHEFF,0.26000541128770693,6
243689,0.9247464537620544,STAFFSHORT,0.23416037324137506,7
243689,0.9247464537620544,PAREDINT,0.17271903141896472,8
243689,0.9247464537620544,ESCS,0.1483187251158597,9
243689,0.9247464537620544,FAMCON,0.14659924594903714,10
251740,0.12965801358222961,COGACRCO,0.43943295162599044,1
251740,0.12965801358222961,ICTRES,0.4050858310543299,2
251740,0.12965801358222961,COGACMCO,0.3304775337147294,3
251740,0.12965801358222961,STUBEHA,0.2257962495166612,4
251740,0.12965801358222961,TEACHSUP,0.21056651903931198,5
251740,0.12965801358222961,EDUSHORT,0.14498355042393085,6
251740,0.12965801358222961,TEACHBEHA,0.1147788684257921,7
251740,0.12965801358222961,ICTEFFIC,0.10495724254318702,8
251740,0.12965801358222961,ICTHOME,0.10363916595430055,9
251740,0.12965801358222961,FEELSAFE,0.08837204989416932,10
