country,n_unweighted,weighted_math_mean,low_performer_rate_weighted,low_performer_rate_unweighted
Portugal,6793,471.91052210574856,0.2920454609713323,0.2727808037685853
Qatar,7676,414.1062217855216,0.5699133678758492,0.5805106826472121
Republic of Moldova,6235,414.1980631976305,0.5680323293046968,0.5595829991980754
Romania,7364,427.7599966689727,0.48717692140102486,0.45382944052145574
Saudi Arabia,6928,388.781606995968,0.7133679329809073,0.7133371824480369
Serbia,6413,439.8766666814575,0.4315972215995123,0.43489786371433026
Singapore,6606,574.6638195932204,0.07561053897294247,0.0768997880714502
Slovak Republic,5824,463.9946184782649,0.32813139196366453,0.3087225274725275
Slovenia,6721,484.52900864834976,0.23911788839774384,0.2916232703466746
Spain,30800,473.1402080246069,0.2646477369408224,0.22642857142857142
Sweden,6072,481.76606539700725,0.2724983554774667,0.26910408432147565
Switzerland,6829,507.99058644870286,0.18910799020654254,0.19168253038512229
Thailand,8495,393.9453559167337,0.6994611031201853,0.6176574455562095
Türkiye,7250,453.15176740183233,0.38771948443162324,0.3903448275862069
Ukrainian regions (18 of 27),3876,440.8453088892643,0.42338191218658006,0.40479876160990713
United Arab Emirates,24600,431.110476583555,0.49289572537053666,0.4795121951219512
United Kingdom,12972,488.9750850657638,0.23608150308612938,0.2637989515880358
United States,4552,464.888043012123,0.3437184016376709,0.3530316344463972
Uruguay,6618,408.71206639217013,0.5719883031732182,0.5698096101541251
Uzbekistan,7293,363.9353746814325,0.823703185177493,0.8246263540381188
Viet Nam,6068,469.4024274813041,0.273228688555621,0.2732366512854318
