pv,estimand,task,group,metric,estimate,n
PV4MATH,senate,classification,global,ece,0.0219623406406459,123406
PV4MATH,senate,classification,global,calibration_slope,0.8597957447875704,123406
PV4MATH,senate,classification,low_ses_non_native,auc,0.8570497181945929,2533
PV4MATH,senate,classification,low_ses_non_native,brier,0.15539708993266327,2533
PV4MATH,senate,classification,low_ses_non_native,ece,0.03756400927434571,2533
PV4MATH,senate,classification,low_ses_non_native,calibration_slope,0.9250296475042792,2533
PV4MATH,senate,classification,high_ses_native,auc,0.8548543417301734,24909
PV4MATH,senate,classification,high_ses_native,brier,0.10964674561310761,24909
PV4MATH,senate,classification,high_ses_native,ece,0.018478688858242966,24909
PV4MATH,senate,classification,high_ses_native,calibration_slope,0.8866570429646077,24909
PV4MATH,senate,classification,contrast,auc_difference,0.002195376464419474,27442
PV4MATH,senate,classification,contrast,ece_difference,0.015601668633699807,27442
PV4MATH,senate,classification,contrast,slope_difference,0.06523390271670881,27442
PV5MATH,population,regression,global,rmse,60.94479279690699,123406
PV5MATH,population,regression,global,r2,0.6229182342065211,123406
PV5MATH,population,classification,global,auc,0.8865425492586687,123406
PV5MATH,population,classification,global,brier,0.13607360609611868,123406
PV5MATH,population,classification,global,ece,0.03312403116012864,123406
PV5MATH,population,classification,global,calibration_slope,0.7933554289029427,123406
PV5MATH,population,classification,low_ses_non_native,auc,0.8366664916906515,2533
PV5MATH,population,classification,low_ses_non_native,brier,0.16326566428913206,2533
PV5MATH,population,classification,low_ses_non_native,ece,0.07243973395250884,2533
PV5MATH,population,classification,low_ses_non_native,calibration_slope,0.7293044328762054,2533
PV5MATH,population,classification,high_ses_native,auc,0.8656762825711516,24909
PV5MATH,population,classification,high_ses_native,brier,0.10421559070527593,24909
PV5MATH,population,classification,high_ses_native,ece,0.025768029335689734,24909
PV5MATH,population,classification,high_ses_native,calibration_slope,0.8714929278497053,24909
PV5MATH,population,classification,contrast,auc_difference,-0.02900979088050004,27442
PV5MATH,population,classification,contrast,ece_difference,0.039315702792380204,27442
PV5MATH,population,classification,contrast,slope_difference,-0.06405099602673736,27442
PV5MATH,senate,regression,global,rmse,64.7680423081437,123406
PV5MATH,senate,regression,global,r2,0.6057710182781961,123406
PV5MATH,senate,classification,global,auc,0.8777125038899296,123406
PV5MATH,senate,classification,global,brier,0.1426507454810283,123406
PV5MATH,senate,classification,global,ece,0.022493748674383314,123406
PV5MATH,senate,classification,global,calibration_slope,0.8584472861178964,123406
PV5MATH,senate,classification,low_ses_non_native,auc,0.8571095072575161,2533
PV5MATH,senate,classification,low_ses_non_native,brier,0.15651225381493408,2533
PV5MATH,senate,classification,low_ses_non_native,ece,0.04859173425441839,2533
PV5MATH,senate,classification,low_ses_non_native,calibration_slope,0.8678618005682877,2533
PV5MATH,senate,classification,high_ses_native,auc,0.8536348317338294,24909
PV5MATH,senate,classification,high_ses_native,brier,0.11018214969882123,24909
PV5MATH,senate,classification,high_ses_native,ece,0.018552585760863896,24909
PV5MATH,senate,classification,high_ses_native,calibration_slope,0.8853552208513471,24909
