row_type,status,model,pv,task,metric,estimate,sampling_variance,training_seconds,peak_rss_delta,n_train,n_test,features,sample_weight,imputation_variance,total_variance,standard_error,ci_lower,ci_upper
pv_specific,FULL_DATA_CANDIDATE,EBM_additive,PV7MATH,classification,brier,0.14522519771410008,2.7879486370131016e-06,105.10859454199999,0.0,490995,122749,33,normalized W_FSTUWT,,,,,
pv_specific,FULL_DATA_CANDIDATE,EBM_additive,PV7MATH,classification,ece,0.010328235165396122,6.116839126002753e-06,105.10859454199999,0.0,490995,122749,33,normalized W_FSTUWT,,,,,
pv_specific,FULL_DATA_CANDIDATE,EBM_additive,PV7MATH,classification,calibration_slope,1.0484095402946292,0.00023105931808192374,105.10859454199999,0.0,490995,122749,33,normalized W_FSTUWT,,,,,
pv_specific,FULL_DATA_CANDIDATE,EBM_additive,PV7MATH,regression,rmse,65.95268415447498,0.10448074660531376,26.566077665999956,0.0,490995,122749,33,normalized W_FSTUWT,,,,,
pv_specific,FULL_DATA_CANDIDATE,EBM_additive,PV7MATH,regression,r2,0.5552657812803623,3.590226083233831e-05,26.566077665999956,0.0,490995,122749,33,normalized W_FSTUWT,,,,,
pv_specific,FULL_DATA_CANDIDATE,EBM_additive,PV8MATH,classification,auc,0.8681854512343001,7.487421311447094e-06,90.53389341599996,0.0,490995,122749,33,normalized W_FSTUWT,,,,,
pv_specific,FULL_DATA_CANDIDATE,EBM_additive,PV8MATH,classification,brier,0.1471111627524459,2.3757768633108935e-06,90.53389341599996,0.0,490995,122749,33,normalized W_FSTUWT,,,,,
pv_specific,FULL_DATA_CANDIDATE,EBM_additive,PV8MATH,classification,ece,0.00755057609944571,8.041428209143838e-06,90.53389341599996,0.0,490995,122749,33,normalized W_FSTUWT,,,,,
pv_specific,FULL_DATA_CANDIDATE,EBM_additive,PV8MATH,classification,calibration_slope,1.0314061389924256,0.0002020313629617356,90.53389341599996,0.0,490995,122749,33,normalized W_FSTUWT,,,,,
pv_specific,FULL_DATA_CANDIDATE,EBM_additive,PV8MATH,regression,rmse,66.2274864835691,0.11258497765770253,25.891234833999988,0.0,490995,122749,33,normalized W_FSTUWT,,,,,
pv_specific,FULL_DATA_CANDIDATE,EBM_additive,PV8MATH,regression,r2,0.5528613806647138,3.151846058633717e-05,25.891234833999988,0.0,490995,122749,33,normalized W_FSTUWT,,,,,
pv_specific,FULL_DATA_CANDIDATE,EBM_additive,PV9MATH,classification,auc,0.8697555920361777,8.840019330732771e-06,88.77526079099994,0.0,490995,122749,33,normalized W_FSTUWT,,,,,
pv_specific,FULL_DATA_CANDIDATE,EBM_additive,PV9MATH,classification,brier,0.1459417753603105,2.923686750351786e-06,88.77526079099994,0.0,490995,122749,33,normalized W_FSTUWT,,,,,
pv_specific,FULL_DATA_CANDIDATE,EBM_additive,PV9MATH,classification,ece,0.009508794523553047,9.172332939988472e-06,88.77526079099994,0.0,490995,122749,33,normalized W_FSTUWT,,,,,
pv_specific,FULL_DATA_CANDIDATE,EBM_additive,PV9MATH,classification,calibration_slope,1.037360557266648,0.0002543538779510973,88.77526079099994,0.0,490995,122749,33,normalized W_FSTUWT,,,,,
pv_specific,FULL_DATA_CANDIDATE,EBM_additive,PV9MATH,regression,rmse,66.37199164095729,0.10821910200811112,25.558109833000117,0.0,490995,122749,33,normalized W_FSTUWT,,,,,
pv_specific,FULL_DATA_CANDIDATE,EBM_additive,PV9MATH,regression,r2,0.5521772314538675,3.2404542263541616e-05,25.558109833000117,0.0,490995,122749,33,normalized W_FSTUWT,,,,,
pv_specific,FULL_DATA_CANDIDATE,EBM_additive,PV10MATH,classification,auc,0.8678693133618469,6.7044678075588865e-06,97.90279962500017,0.0,490995,122749,33,normalized W_FSTUWT,,,,,
pv_specific,FULL_DATA_CANDIDATE,EBM_additive,PV10MATH,classification,brier,0.14714343806736538,2.2438019799923267e-06,97.90279962500017,0.0,490995,122749,33,normalized W_FSTUWT,,,,,
pv_specific,FULL_DATA_CANDIDATE,EBM_additive,PV10MATH,classification,ece,0.008394356362630523,7.571799236309773e-06,97.90279962500017,0.0,490995,122749,33,normalized W_FSTUWT,,,,,
pv_specific,FULL_DATA_CANDIDATE,EBM_additive,PV10MATH,classification,calibration_slope,1.0143328364792255,0.0001788944437579364,97.90279962500017,0.0,490995,122749,33,normalized W_FSTUWT,,,,,
pv_specific,FULL_DATA_CANDIDATE,EBM_additive,PV10MATH,regression,rmse,65.89459750222828,0.09620401754263502,27.420474250000098,0.0,490995,122749,33,normalized W_FSTUWT,,,,,
pv_specific,FULL_DATA_CANDIDATE,EBM_additive,PV10MATH,regression,r2,0.5550357173634572,3.1375499427567346e-05,27.420474250000098,0.0,490995,122749,33,normalized W_FSTUWT,,,,,
pv_pooled,FULL_DATA_CANDIDATE,EBM_additive,PV1MATH-PV10MATH,classification,auc,0.8689105173437082,7.6691084653135e-06,,,490995,122749,33,normalized W_FSTUWT,2.5009211419502905e-06,1.042012172145882e-05,0.0032280213322496525,0.8625835955324989,0.8752374391549175
pv_pooled,FULL_DATA_CANDIDATE,EBM_additive,PV1MATH-PV10MATH,classification,brier,0.14653700753848423,2.5963447246749727e-06,,,490995,122749,33,normalized W_FSTUWT,7.105953875517469e-07,3.3779996509818945e-06,0.0018379335273567144,0.14293465782486506,0.1501393572521034
pv_pooled,FULL_DATA_CANDIDATE,EBM_additive,PV1MATH-PV10MATH,classification,ece,0.008346642317477384,8.248052257864532e-06,,,490995,122749,33,normalized W_FSTUWT,1.57620507954314e-06,9.981877845361986e-06,0.0031594109965881276,0.002154196764164654,0.014539087870790115
pv_pooled,FULL_DATA_CANDIDATE,EBM_additive,PV1MATH-PV10MATH,classification,calibration_slope,1.0299591612654675,0.0002185486795067949,,,490995,122749,33,normalized W_FSTUWT,0.00011825442656746552,0.000348628548731007,0.018671597380272718,0.993362830400133,1.066555492130802
pv_pooled,FULL_DATA_CANDIDATE,EBM_additive,PV1MATH-PV10MATH,regression,rmse,66.1543581173799,0.10573360997128009,,,490995,122749,33,normalized W_FSTUWT,0.020634970607311398,0.12843207763932263,0.35837421452906265,65.45194465690294,66.85677157785686
pv_pooled,FULL_DATA_CANDIDATE,EBM_additive,PV1MATH-PV10MATH,regression,r2,0.5531414649380269,3.140027622768511e-05,,,490995,122749,33,normalized W_FSTUWT,2.336273319166774e-06,3.3970176878768564e-05,0.005828394022264501,0.5417178126543885,0.5645651172216652
